1 0
6 3
8 7
9 2
9 6
10 3
11 4
11 5
12 4
12 11
13 4
13 5
13 11
14 2
14 3
14 6
14 10
15 4
15 5
15 11
15 12
15 13
17 0
17 1
18 6
18 9
18 13
19 4
19 11
19 12
19 15
20 1
21 16
21 18
22 16
23 0
23 1
23 10
23 17
23 20
24 11
24 12
24 18
24 19
25 7
25 15
26 13
26 16
26 18
26 21
26 22
27 2
27 6
27 9
27 14
27 18
28 18
28 24
29 4
29 5
29 11
29 13
29 15
29 18
29 21
29 22
29 26
30 4
30 11
30 13
30 15
30 18
30 19
30 21
30 24
30 28
30 29
31 7
31 8
31 25
31 30
32 4
32 5
32 11
32 12
32 13
32 15
32 18
32 22
32 24
32 26
32 29
32 30
33 0
33 1
33 3
33 20
33 23
34 2
34 9
34 16
35 1
35 3
35 6
35 8
35 10
35 14
35 18
35 20
35 23
35 24
35 28
35 30
35 31
35 33
36 7
36 8
37 11
37 12
37 15
37 19
37 29
37 32
38 7
38 8
38 31
38 36
39 5
39 11
39 15
39 19
39 32
